COMPANY_ID,RELATIONSHIP_ID,RELATIONSHIP_ORDER,TABLE_FROM,FIELD_FROM,TABLE_TO,FIELD_TO
ALL,PROVINCE_ID_COUNTRY_ID_FK,1,PROVINCE_ID,COUNTRY_ID,COUNTRY_ID,COUNTRY_ID
ALL,ROLE_PROCESS_ID_FK,1,ROLE,SUBSYSTEM_ID,PROCESS_ID,SUBSYSTEM_ID
ALL,ROLE_PROCESS_ID_FK,2,ROLE,MODULE_ID,PROCESS_ID,MODULE_ID
ALL,ROLE_PROCESS_ID_FK,3,ROLE,PROCESS_ID,PROCESS_ID,PROCESS_ID
ALL,USER_ACCESS_USER_ACCOUNT_ID_FK,1,USER_ACCESS,USER_ID,USER_ACCOUNT_ID,USER_ID
ALL,USER_ACCOUNT_PERSON_ID_FK,1,USER_ACCOUNT,PERSON_ID,PERSON_ID,PERSON_ID
ALL,USER_ACCOUNT_USER_STATUS_ID_FK,1,USER_ACCOUNT,USER_STATUS_ID,USER_STATUS_ID,USER_STATUS_ID
ALL,USER_ACCOUNT_USER_TYPE_ID_FK,1,USER_ACCOUNT,USER_TYPE_ID,USER_TYPE_ID,USER_TYPE_ID
ALL,USER_PROF_USER_ACCOUNT_ID_FK,1,USER_PROFILE,USER_ID,USER_ACCOUNT_ID,USER_ID
ALL,USER_SESS_USER_ACCOUNT_ID_FK,1,USER_SESSION,USER_ID,USER_ACCOUNT_ID,USER_ID
ALL,USER_SESSION_HOST_ID_FK,1,USER_SESSION,HOST_ID,HOST_ID,HOST_ID
